Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2010-01-04,901.8198852539062,909.801051021371,852.2529510855742,853.3731196997923,322796
2010-01-05,920.4891967773438,924.1297306270473,905.4604431396322,905.4604431396322,399360
2010-01-06,921.6095581054688,935.3314986724405,910.1279552950394,922.2629946989732,341762
2010-01-07,913.2548217773438,936.2647407376722,911.1545269950309,921.3293111745588,185302
2010-01-08,924.4097900390625,927.8636197367347,914.7951180503018,927.8636197367347,335191
2010-01-11,925.5765380859375,939.0651089482631,922.3560747767242,933.324280572094,240284
2010-01-12,919.0890502929688,938.1317473573438,908.3075475763779,924.129780978876,114835
2010-01-13,963.708740234375,968.0026540005517,906.4406608975864,915.7286437555846,242789
2010-01-14,974.5370483398438,980.1378359739808,961.4685438601907,970.7564711074748,655019
2010-01-15,967.9558715820312,989.2856244477257,947.4663734208672,975.4703056402032,345312
2010-01-18,935.9847412109375,956.240929564986,925.0631966168982,944.8526527829462,522516
2010-01-19,932.9976196289062,941.865530971052,922.5894693166257,938.1316735638327,219429
2010-01-20,912.46142578125,948.8665363750799,907.6540614644584,928.7970523297633,86992
2010-01-21,882.4972534179688,914.7950983877139,870.922272240548,913.861634001604,177821
2010-01-22,851.9264526367188,877.4566855379754,833.7705555677243,877.3633618717292,168573
2010-01-25,845.4852905273438,852.252906708766,826.1159062839627,845.7186566025651,66982
2010-01-27,849.5926513671875,862.5211105923605,824.202408145397,840.1179648626888,182223
2010-01-28,860.8409423828125,877.456598491329,832.7903465599143,855.1001131242998,321650
2010-01-29,868.1219482421875,876.5231283864667,841.9849433488743,849.4526590326781,86068
2010-02-01,869.7088012695312,896.1258326496877,859.8140443495366,886.7911885595868,34440
2010-02-02,896.8258666992188,909.5676777589191,872.7891598894296,874.6560885736851,100556
2010-02-03,907.0473022460938,919.4623664592946,886.7911148592182,919.4623664592946,72908
2010-02-04,898.0859985351562,908.1674587598361,892.391888978818,897.9926748929109,213394
2010-02-05,870.5023193359375,883.8975692686317,855.9869575680813,878.3901058577585,63337
2010-02-08,867.98193359375,877.4566209608063,854.3533748238063,870.9223695281195,57942
2010-02-09,893.27880859375,896.1258637451942,859.254018309845,868.1219305031569,67728
2010-02-10,919.27587890625,924.0365823033094,894.3057021540628,896.1259694242868,153517
2010-02-11,934.304443359375,937.1981599080808,912.9280880379512,916.4752409933731,164610
2010-02-15,933.6512451171875,940.4655248703003,927.0236126929143,935.3314698958222,68387
2010-02-16,973.7898559570312,982.0043869020608,929.7303891202021,942.7988885656667,943309
2010-02-17,977.7574462890625,989.3791488876199,963.4755063277385,984.8051495738697,499371
2010-02-18,956.801025390625,977.7572559284001,950.3600981373612,977.7572559284001,202540
2010-02-19,958.99462890625,970.5228914608703,942.892368000274,956.8010103550941,111290
2010-02-22,966.8823852539062,982.0044616119645,940.4652995000515,982.0044616119645,114581
2010-02-23,956.6144409179688,970.8030553788003,949.4734148844166,966.8825501575523,544180
2010-02-24,954.7472534179688,966.1355290195975,926.0432268311546,957.7343505063835,82751
2010-02-25,964.8287963867188,970.2895404238615,931.6908096599759,955.8675607939342,298315
2010-02-26,970.8497924804688,980.0909998116314,954.5141068627233,972.670002664291,422959
2010-03-02,1003.1476440429688,1012.808978792946,960.9083755725718,980.1377214125284,95622
2010-03-03,1007.908203125,1026.8108575480435,995.2131098577009,1026.8108575480435,192373
2010-03-04,1018.8296508789062,1026.8108168986612,1003.4742074236917,1008.1415293186856,166225
2010-03-05,1024.71044921875,1040.4860188923021,1017.4761007956616,1024.9438152969142,343773
2010-03-08,1037.685546875,1049.1204838336162,1019.3896705308688,1028.3041856684188,306978
2010-03-09,1019.903076171875,1043.6130922926886,1017.4760917701525,1041.6994448894054,132044
2010-03-10,1035.165283203125,1039.879323922304,1018.4096430872833,1018.4096430872833,299608
2010-03-11,1038.059326171875,1045.4803239635412,1028.5846379462928,1036.239001881701,77414
2010-03-12,1033.0650634765625,1045.0134540417994,1021.2101105151661,1040.8128640076875,80067
2010-03-15,1038.99267578125,1045.386884622589,1021.2101320164517,1025.4107221390057,255900
2010-03-16,1043.56640625,1045.480053713342,1022.6101775383627,1036.1454103766157,264272
2010-03-17,1025.87744140625,1053.601290285316,1017.5695849236735,1045.4801950636943,158750
2010-03-18,1032.4583740234375,1038.0124417791792,956.8010367119233,1010.2885939045027,309482
2010-03-19,1047.7672119140625,1050.6143242984585,1021.2101917214694,1021.2101917214694,210978
2010-03-22,1048.9339599609375,1057.3818588375239,1021.2101112939757,1021.2101112939757,168236
2010-03-23,1037.0789794921875,1050.1474814839883,1033.8585727949544,1050.1474814839883,96928
2010-03-25,1014.0691528320312,1040.6262866462548,1001.1406920921112,1040.6262866462548,575656
2010-03-26,1041.6995849609375,1044.4533733981018,1012.8089064350348,1016.542764154611,102350
2010-03-29,1065.0828857421875,1070.2169399679385,1033.3450959829986,1037.0789536017269,83328
2010-03-30,1069.00341796875,1076.097838784184,1058.5486619485757,1073.01736059073,80771
2010-03-31,1078.011474609375,1084.5924450331904,1054.814904152843,1054.814904152843,108222
2010-04-01,1068.1165771484375,1075.210883383319,1060.4154962994319,1065.549550198769,129245
2010-04-05,1070.7308349609375,1090.0067917519896,1066.2968772001052,1074.417975309031,33395
2010-04-06,1070.3568115234375,1081.41834016316,1064.2425750696623,1071.15023335108,29411
2010-04-07,1073.437255859375,1085.525687247285,1064.1493313971077,1064.1493313971077,37900
2010-04-08,1085.712646484375,1088.4197165966195,1062.3294267738224,1071.2439452774731,69738
2010-04-09,1082.7257080078125,1095.8875372412322,1078.151708273955,1085.6194257338611,42657
2010-04-12,1058.362060546875,1088.046162292526,1053.9747091735317,1082.81878405571,79470
2010-04-13,1062.7960205078125,1067.8833563024862,1048.7473346204922,1058.5487115795622,189740
2010-04-15,1054.6746826171875,1071.336998626054,1046.4135458344674,1054.814725060614,41211
2010-04-16,1030.59130859375,1053.414465207005,1024.9438039851939,1035.5386010272612,56404
2010-04-19,1027.5111083984375,1034.278726418777,1012.855760471647,1025.6908980964288,29812
2010-04-20,1031.384765625,1044.5465899472795,1017.6161666958468,1026.810767597862,42694
2010-04-21,1031.7581787109375,1039.692625586554,1022.2367740912276,1031.2914465417834,41635
2010-04-22,1044.9666748046875,1053.4145731862507,1026.8108378421584,1031.47815983235,60758
2010-04-23,1021.9102172851562,1054.768120688196,1019.3431900209094,1045.2001099760034,27811
2010-04-26,1025.0372314453125,1044.546660130163,1020.3699094608166,1044.546660130163,29033
2010-04-27,1022.00341796875,1048.7471943116136,1017.4761386734835,1040.7194237135714,31539
2010-04-28,1006.5078735351562,1023.8702865885369,998.8067931209063,998.9468355544573,46992
2010-04-29,947.7930908203125,1012.8089114756676,937.3849965596823,986.2984987450786,310248
