Date,Close,High,Low,Open,Volume,Ticker
2010-01-04,266.6165466308594,273.0276078508353,265.31970798899505,270.3243719352016,749580,LUPIN
2010-01-05,262.7260437011719,269.22843592842185,261.41095000684925,269.22843592842185,939230,LUPIN
2010-01-06,268.3517150878906,270.1416928822104,263.01829195655546,264.6438900073034,1172210,LUPIN
2010-01-07,263.1369934082031,270.48870808184864,262.28767028166425,269.04577291645205,662050,LUPIN
2010-01-08,262.9086608886719,266.6712785792217,261.73969201519606,266.0685250845584,552700,LUPIN
2010-01-11,258.3424377441406,264.79003725019396,256.990805817188,263.4201501958695,1421425,LUPIN
2010-01-12,256.6437683105469,259.9041062523407,253.87659752164873,255.7122551287875,1650775,LUPIN
2010-01-13,255.5386505126953,258.177978805706,252.27831363441683,255.73042683776615,1063250,LUPIN
2010-01-14,254.3697052001953,258.05013318260154,252.30573356212727,256.62545318105185,1287705,LUPIN
2010-01-15,259.566162109375,261.940638229465,254.25099442902993,254.79895474449984,774525,LUPIN
2010-01-18,259.58441162109375,263.73061021164574,257.3560601580072,259.56615649679327,677950,LUPIN
2010-01-19,258.2967529296875,261.1917931093047,256.99080065304247,258.6346818074527,421975,LUPIN
2010-01-20,260.1598205566406,265.41105443118505,258.8356130844449,261.19180662951464,1986100,LUPIN
2010-01-21,257.77618408203125,262.61643980967494,256.26928624888654,260.2602466878305,533835,LUPIN
2010-01-22,261.0274353027344,263.9315893548301,239.2918759277285,255.1643060720725,784230,LUPIN
2010-01-25,261.6301574707031,265.75807352788746,252.43364287655845,260.50684011625395,1806590,LUPIN
2010-01-27,257.7579040527344,261.6301365498231,254.61629460718115,259.91320721673935,1031915,LUPIN
2010-01-28,256.4428405761719,261.19179342293995,255.28301292544324,259.3652773850173,1585110,LUPIN
2010-01-29,259.84930419921875,271.93171787824883,252.42451201210827,257.4839692638279,1290385,LUPIN
2010-02-01,287.27435302734375,289.68536684346424,260.27845640971015,262.10497189328703,3173040,LUPIN
