Date,Close,High,Low,Open,Volume,Ticker
2019-08-19,1258.6549072265625,1282.754809226325,1131.3453089656123,1149.4564932073242,206274,FORCEMOT
2019-08-20,1215.6710205078125,1284.6866588904293,1200.8439034614594,1255.708764328991,67991,FORCEMOT
2019-08-21,1195.000244140625,1244.1177578136494,1188.1421651759447,1221.8047998699176,37234,FORCEMOT
2019-08-22,1149.8912353515625,1215.1398491371046,1140.763244698665,1194.8553206538938,19168,FORCEMOT
2019-08-23,1152.6441650390625,1176.5025857463863,1107.969908396394,1150.4224791658014,20705,FORCEMOT
2019-08-26,1217.3131103515625,1312.891823170583,1162.3516775417531,1186.1618722568687,58426,FORCEMOT
2019-08-27,1229.3388671875,1273.0955363526305,1205.4804471685,1221.9012545417888,35263,FORCEMOT
2019-08-28,1209.585693359375,1241.2198969589115,1207.4123511273458,1234.216905322373,18020,FORCEMOT
2019-08-29,1177.1788330078125,1208.5715577190638,1169.7412192407742,1202.4862695218621,12853,FORCEMOT
2019-08-30,1172.97705078125,1202.5828283300436,1159.1159791132952,1182.5881248548894,10739,FORCEMOT
2019-09-03,1137.623779296875,1169.547805154483,1134.0015426826842,1161.0475760686427,7437,FORCEMOT
2019-09-04,1145.6412353515625,1166.843350052624,1135.9335924353359,1137.6239698050313,11200,FORCEMOT
2019-09-05,1156.8460693359375,1172.6390009977424,1146.1242700919563,1157.1357775844167,17011,FORCEMOT
2019-09-06,1171.23828125,1220.742185828681,1146.558726534524,1163.9454637524022,55574,FORCEMOT
2019-09-09,1156.5560302734375,1165.8772764887792,1145.5927505515263,1165.828932833911,18248,FORCEMOT
2019-09-11,1196.3525390625,1208.909627912101,1140.7632254906812,1159.1158938093288,46916,FORCEMOT
2019-09-12,1181.0152587890625,1261.0609321871661,1173.4196318807221,1202.5360432011983,32636,FORCEMOT
2019-09-13,1166.0677490234375,1191.921986725127,1161.2475238314655,1178.288892105722,19322,FORCEMOT
2019-09-16,1153.7977294921875,1173.4196672034664,1149.0748608299505,1158.8127833793567,25460,FORCEMOT
2019-09-17,1148.2958984375,1203.55861463043,1144.2060180915,1163.6818652079512,39914,FORCEMOT
2019-09-18,1125.9959716796875,1166.5057035431525,1116.0632198881601,1151.996175946776,16772,FORCEMOT
2019-09-19,1102.527587890625,1153.943868570311,1093.568746332877,1132.3257271885848,15603,FORCEMOT
2019-09-20,1164.996337890625,1236.7161610852672,1096.1492731644855,1104.3291518624242,119057,FORCEMOT
2019-09-23,1171.5694580078125,1223.569989077492,1166.6031411976405,1182.0377249259047,48369,FORCEMOT
2019-09-24,1183.206298828125,1215.2927053183291,1177.3148082771313,1180.187447812568,29373,FORCEMOT
2019-09-25,1147.955078125,1183.9367764699289,1140.9438208139093,1183.9367764699289,17576,FORCEMOT
2019-09-26,1153.8951416015625,1170.4983479119944,1147.1273326458647,1152.9700864623971,16302,FORCEMOT
2019-09-27,1128.18701171875,1175.3184595555583,1119.861040780154,1151.9961836894977,17007,FORCEMOT
2019-09-30,1091.913330078125,1139.6777700442028,1081.4936813693182,1127.7001963342254,13534,FORCEMOT
2019-10-01,1065.1827392578125,1105.2543182715776,1056.2725154728496,1088.7972037671393,17780,FORCEMOT
2019-10-03,1055.2501220703125,1073.1191882270894,1045.8530019563466,1063.381264558967,11517,FORCEMOT
2019-10-04,1073.362548828125,1100.3365476416957,1051.6469332698143,1062.4073855944516,23343,FORCEMOT
2019-10-07,1052.6207275390625,1081.8832333801083,1046.8267109663516,1069.9055406736231,9958,FORCEMOT
2019-10-09,1064.40380859375,1080.909541887632,1045.85301620479,1062.4074866661322,12638,FORCEMOT
2019-10-10,1065.5234375,1077.939288746909,1054.0327602176926,1068.2013662003137,14644,FORCEMOT
2019-10-11,1057.3438720703125,1076.0406392490777,1052.6696208400479,1069.2240922131107,12582,FORCEMOT
2019-10-14,1058.8043212890625,1071.1714348520886,1050.7705355276719,1061.3847755579468,10367,FORCEMOT
2019-10-15,1062.212646484375,1071.1714877424984,1048.7742657260642,1054.22747861671,18546,FORCEMOT
2019-10-16,1060.5086669921875,1076.0406083148816,1056.2239566328137,1066.3026842577335,13261,FORCEMOT
2019-10-17,1057.1488037109375,1143.232059200055,1040.0100845193003,1073.9954565610558,167321,FORCEMOT
2019-10-18,1047.3135986328125,1060.8005979558109,1027.350856864358,1037.0887796782383,32129,FORCEMOT
2019-10-22,1049.4072265625,1068.250082548822,1041.9576921852688,1066.3024980774478,23409,FORCEMOT
2019-10-23,1023.79638671875,1053.204981936305,1020.5342066834412,1046.923951040059,17792,FORCEMOT
2019-10-24,1033.6318359375,1059.4860702178325,1022.4819611477243,1026.3771305235252,21936,FORCEMOT
2019-10-25,1012.8900756835938,1036.1637352225016,1007.8750216086102,1032.2198288938423,14393,FORCEMOT
2019-10-27,1034.751708984375,1045.8529653517207,1014.6916107043696,1027.350911029856,9523,FORCEMOT
2019-10-29,1055.8343505859375,1090.696164102551,1036.1150555899815,1036.1150555899815,81883,FORCEMOT
2019-10-30,1064.40380859375,1088.6998809282636,1060.4599019059742,1070.1978257067638,47139,FORCEMOT
2019-10-31,1068.98046875,1103.3066464074243,1061.4335786267363,1073.8981672819966,46796,FORCEMOT
2019-11-01,1083.3927001953125,1098.3403886300916,1066.448689943125,1084.8046515200226,32551,FORCEMOT
2019-11-04,1148.734130859375,1178.2887039147456,1079.886942704652,1092.5949799936732,135423,FORCEMOT
2019-11-05,1113.580322265625,1165.3372920991642,1105.2543498788743,1159.2024714357365,39537,FORCEMOT
2019-11-06,1095.7110595703125,1118.887364094793,1091.6211794171131,1118.887364094793,20476,FORCEMOT
2019-11-07,1076.04052734375,1103.69625335921,1061.4336423571833,1103.306712652008,26305,FORCEMOT
2019-11-08,1054.6656494140625,1094.5423909302003,1052.0363392519712,1079.8867713323782,20507,FORCEMOT
2019-11-11,1055.5419921875,1066.302443388405,1046.193610978592,1061.3361270153398,15925,FORCEMOT
2019-11-13,1037.5269775390625,1075.9917740954065,1032.2198569550578,1056.6134020664583,13613,FORCEMOT
2019-11-14,1023.4069213867188,1050.4296564244949,1018.5866972797814,1038.0625423520526,22696,FORCEMOT
2019-11-15,1001.7401733398438,1051.7445071289053,989.9086315891193,1031.2461299899967,33358,FORCEMOT
2019-11-18,998.234375,1024.4294093361464,989.6650154021709,996.871101561459,33538,FORCEMOT
2019-11-19,995.3617553710938,1020.5342608360016,990.5414719275519,1002.032208397181,27480,FORCEMOT
2019-11-20,982.6051635742188,1005.7814097278164,979.1482126023188,988.3992399715103,23511,FORCEMOT
2019-11-21,986.2567749023438,993.3654464113245,971.9420169984413,987.4253374847043,26319,FORCEMOT
2019-11-22,980.7548828125,991.3205048909936,974.863392184885,991.1257345549832,12325,FORCEMOT
2019-11-25,993.8036499023438,1012.7439206908375,978.0282038660089,982.5076837919396,24747,FORCEMOT
2019-11-26,991.7100830078125,1012.6466170548688,988.9347393448876,993.8037007511797,13482,FORCEMOT
2019-11-27,1011.8675537109375,1038.0138531543773,998.1371060747691,999.743887141701,52601,FORCEMOT
2019-11-28,1004.2720336914062,1021.5081096324634,999.6951386172775,1021.5081096324634,16037,FORCEMOT
2019-11-29,1021.1185913085938,1027.3508858595985,1001.6914822950567,1007.9237768460616,46220,FORCEMOT
2019-12-02,994.2905883789062,1017.5641880403807,993.2681183794518,1012.7439638378725,10667,FORCEMOT
2019-12-03,986.5489501953125,1012.6466312472523,983.530217855329,994.5340589006569,10837,FORCEMOT
2019-12-04,987.3280029296875,1003.9798269151609,982.2642712559999,983.5301893155311,11542,FORCEMOT
2019-12-05,999.3055419921875,1029.0062050997585,989.178138429959,989.178138429959,91289,FORCEMOT
2019-12-06,991.9047241210938,1024.4294078007797,986.6462818336424,1007.6314921310426,30998,FORCEMOT
2019-12-09,979.1481323242188,1001.9348953290626,975.7398593623742,996.1894971334419,14464,FORCEMOT
2019-12-10,959.4288330078125,987.2305903999417,955.290215864668,982.3616290550657,15660,FORCEMOT
2019-12-11,943.0204467773438,966.8296199459797,937.761944807934,964.0543357838574,24240,FORCEMOT
2019-12-12,945.0167236328125,956.2153347772048,941.6571284023821,945.5522974960837,14039,FORCEMOT
2019-12-13,938.8330688476562,956.2639736071848,936.3012328139595,947.4998435028419,33542,FORCEMOT
2019-12-16,964.2491455078125,970.6761509013269,935.1814097469199,946.526113794506,24440,FORCEMOT
2019-12-17,965.417724609375,985.4291447902084,959.1854300208003,966.9757685387357,18223,FORCEMOT
2019-12-18,964.9794921875,971.3091421415365,960.159208412313,967.7547764700438,8044,FORCEMOT
2019-12-19,969.7998046875,978.7099688407561,956.2640675337225,965.0281984988992,19618,FORCEMOT
2019-12-20,956.6048583984375,978.5639226853173,955.290262545308,968.2903661971568,19493,FORCEMOT
2019-12-23,963.4700927734375,969.8970979616084,955.3388916824014,966.7809508200006,17996,FORCEMOT
2019-12-24,953.2453002929688,967.9495401569418,949.447486572453,965.0281632751804,10945,FORCEMOT
2019-12-26,1067.7633056640625,1102.3329338912163,949.4962135463056,956.9457487553983,470815,FORCEMOT
2019-12-27,1083.976806640625,1100.3851813673214,1042.0063867715462,1077.8906054162483,176534,FORCEMOT
2019-12-30,1075.5535888671875,1106.3254015874868,1061.4336006022945,1082.8570310731666,108986,FORCEMOT
2019-12-31,1056.223876953125,1083.782128633222,1046.8267571726506,1075.5536309741326,40218,FORCEMOT
2020-01-01,1063.2349853515625,1084.6097953748888,1056.5645325836679,1061.4822307215597,32812,FORCEMOT
