Price,Close,High,Low,Open,Volume
Ticker,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS
Date,,,,,
2010-01-04,248.30848693847656,250.46046211095145,239.42935150534277,241.5994060507084,226504
2010-01-05,247.91055297851562,252.44957749995478,245.93941647560067,250.2795238251701,274586
2010-01-06,248.5796661376953,252.0879243055708,243.17261083552393,243.17261083552393,196952
2010-01-07,250.84014892578125,252.5219495703804,247.02447513768882,249.55620475110584,167180
2010-01-08,247.00637817382812,255.52383492294038,246.04792891562477,251.36456514004752,153168
2010-01-11,249.55624389648438,251.00294675965242,247.4042689725352,247.76594468832718,206698
2010-01-12,246.93405151367188,250.89440431983283,242.72052133601147,244.13106520941562,117452
2010-01-13,251.65391540527344,253.0644592845398,244.4927418776881,246.66279579967943,174020
2010-01-14,246.82568359375,254.18577817250338,246.12041128455905,249.556331794777,219404
2010-01-15,246.8435516357422,249.55611813723385,245.59576663007147,249.55611813723385,166264
2010-01-18,255.54193115234375,256.7716372166643,247.74782515550336,249.4477051591476,333484
2010-01-19,255.14407348632812,260.64154738871105,253.89628816795297,256.0663419129782,308734
2010-01-20,255.08969116210938,256.7895701967049,228.83206225083592,248.14551808828537,90982
2010-01-21,250.42425537109375,257.87476571897633,249.55622488933193,254.25800883652224,86902
2010-01-22,248.94140625,250.64128663494992,244.52895782787533,249.73709728922498,81318
2010-01-25,246.8798065185547,249.52005660165273,245.5777829206709,246.30113426947995,35544
2010-01-27,242.35891723632812,246.66286759769952,240.58671926247953,244.89064754891447,146284
2010-01-28,237.548583984375,244.1310858245568,235.08919375698062,243.4077344591507,257050
2010-01-29,245.5957794189453,249.28487446806025,235.45078459007215,235.45078459007215,300140
2010-02-01,261.6542053222656,263.22748528066586,245.25220436406784,249.1583183261698,385566
2010-02-02,257.4407043457031,269.050505102908,256.1025001240098,262.2148269900244,236874
2010-02-03,256.771728515625,261.1299173190509,256.2472942112847,257.9652541936469,56034
2010-02-04,254.02285766601562,260.04476544545366,252.41341884997397,260.04476544545366,56544
2010-02-05,250.80398559570312,256.06636192363936,247.74782191764544,249.55620017981803,97726
2010-02-08,251.2922821044922,258.5619772133579,249.91791880391472,256.78975738173585,91124
2010-02-09,251.32846069335938,252.77516353902573,249.6285804347147,251.7262951459442,28980
2010-02-10,253.20916748046875,254.9813873716069,251.38270947527604,252.087981557461,214956
2010-02-11,253.75167846679688,257.1514390935061,251.41888771302683,253.89635758599337,147506
2010-02-15,257.4407043457031,280.2443479882637,250.3156901490575,259.6830976259827,171388
2010-02-16,254.9993896484375,258.6342251885436,253.17293219544166,258.6342251885436,76790
2010-02-17,253.87831115722656,256.6632190011124,253.17303899076487,254.9994972142108,82156
2010-02-18,252.5580596923828,256.391834185424,252.0878858410934,253.87818442381666,175874
2010-02-19,252.63046264648438,258.2364356901787,251.54543560576934,252.79322111757796,80342
2010-02-22,254.9633026123047,255.48773682002306,251.90713837070984,254.25803054502373,67122
2010-02-23,255.07183837890625,256.789798297091,253.89639211909565,254.42082640384476,52950
2010-02-24,250.94871520996094,254.98140873121642,249.5562723752331,254.98140873121642,57228
2010-02-25,245.25221252441406,252.08789011061216,244.329944170702,247.78394169338722,195254
2010-02-26,248.92327880859375,255.01750499195202,242.32269785943745,244.13107620167204,436248
2010-03-02,252.576171875,254.98132368726993,249.91786477716812,249.91786477716812,86730
2010-03-03,255.10792541503906,256.6088882779268,252.84745247390157,254.98134776030778,96958
2010-03-04,255.37913513183594,257.74812799776794,253.4984396511439,255.27063686563093,97188
2010-03-05,255.07183837890625,256.77171892346604,251.76249623284912,255.70477098034277,70204
2010-03-08,256.44610595703125,258.1098271319108,255.34299967935132,257.3683744162414,36824
2010-03-09,259.5384521484375,263.2998879491115,254.34841511018223,256.35571066513774,134530
2010-03-10,258.6343078613281,263.6073491905204,257.15144618587016,260.4065277831597,119034
2010-03-11,263.0467529296875,281.81773206928403,240.5324388299955,249.55625267128468,244804
2010-03-12,266.3379821777344,267.6400058084514,244.63744116623835,258.59811372032806,237202
2010-03-15,262.3775634765625,267.63993894212854,261.56379339194115,267.63993894212854,94620
2010-03-16,261.5095520019531,265.4699044464878,260.4607059514129,265.4699044464878,50326
2010-03-17,259.1949157714844,264.33069337919824,258.59814199843737,262.2510579715185,42246
2010-03-18,259.95440673828125,262.9382312330163,258.59812287703807,262.9382312330163,23632
2010-03-19,258.435302734375,261.4553073231103,257.87470995380875,260.40643922404246,43592
2010-03-22,259.0140686035156,262.19681043722983,256.78975415655236,258.23645699687097,39276
2010-03-23,258.4172058105469,261.45528955837386,257.5310962111868,261.45528955837386,172712
2010-03-25,255.52383422851562,260.7319721637817,254.25796951542318,260.7319721637817,179558
2010-03-26,251.92515563964844,256.7896972777119,249.7731812263495,256.7896972777119,241254
2010-03-29,246.1745147705078,256.4280095670912,245.57774117920295,253.1729290507247,420808
2010-03-30,245.70433044433594,250.24337726140334,245.2160771737402,246.7351192349349,151686
2010-03-31,244.23951721191406,247.56693699631646,243.40766778454488,246.0840759333943,237872
2010-04-01,244.3119659423828,247.71172677806896,243.51627488776097,245.92142742390376,168112
2010-04-05,245.4151153564453,247.56709083125196,244.1311706517094,245.83105136604993,167014
2010-04-06,250.20721435546875,251.90709435331274,245.79476693817057,246.42769933604322,1009030
2010-04-07,256.98858642578125,259.32139839959126,250.96670108865442,251.70813163422588,1061506
2010-04-08,256.22369384765625,258.5183929954253,253.54652631578915,257.91739030444023,499294
2010-04-09,260.2485656738281,262.3247308259669,253.87438806810104,254.60286550875557,303332
2010-04-12,260.2850646972656,263.3446798284866,258.62778243092697,260.2486497060217,87144
2010-04-13,260.2850646972656,261.5234856388014,258.609574935305,260.7950079629273,73496
2010-04-15,260.8132019042969,261.81485865656845,259.01021530393336,259.01021530393336,585176
2010-04-16,267.33306884765625,269.5367091178181,260.0665004190839,260.5035914206845,387240
2010-04-19,263.6723937988281,266.98695695027595,262.2518540302847,266.98695695027595,73610
2010-04-20,263.59954833984375,265.71212832715185,261.5597983065322,264.80153158853926,85416
2010-04-21,264.6376953125,265.785056423396,262.25193562221125,263.5996236265442,35872
2010-04-22,267.73370361328125,268.80821243174177,264.0731084187165,265.1658247294147,62878
2010-04-23,273.6707458496094,275.36446474355483,267.3512131240334,268.42572176474255,214574
2010-04-26,274.9273681640625,276.63929451185743,273.19723432741824,275.000220350826,178652
2010-04-27,277.78668212890625,278.42409991971937,273.94394566205256,273.94394566205256,93334
2010-04-28,274.19891357421875,278.07806497064246,272.1045408608582,276.82143689635257,83598
2010-04-29,266.8594970703125,277.5134792298698,265.1657781934261,274.0349817995195,138362
2010-04-30,270.2651062011719,272.049884662971,268.07967407555594,269.5366288259666,88722
2010-05-03,276.9853210449219,280.82803484457645,269.8826664671408,272.1045136220029,129602
2010-05-04,275.0912780761719,280.4455914105215,273.57967857916856,278.67902037733654,73244
2010-05-05,275.1459655761719,276.4572162071362,267.9340204117597,267.9340204117597,53866
2010-05-06,272.23199462890625,277.4952256983643,271.4124576100317,273.94389861657476,41654
2010-05-07,269.7370300292969,271.3214820960499,268.07974799003495,269.2088793403792,42232
2010-05-10,269.6642150878906,272.41423610261444,268.1344297518747,271.35793457881823,91492
2010-05-11,268.1161193847656,271.72209169253534,267.7336731657883,270.6293755061043,700510
2010-05-12,267.6972351074219,270.97538338410783,265.89424910897145,268.07968129342873,731530
2010-05-13,268.8809509277344,269.88260712229413,267.0779653312546,269.3544566825268,49664
2010-05-14,266.36767578125,270.22861816479644,265.2021078497764,269.17231736378864,41646
2010-05-17,265.8214416503906,272.4323840132789,262.9985912704932,265.16581633101094,59762
2010-05-18,264.4737854003906,269.5367136438166,261.159221192725,269.5367136438166,104348
2010-05-19,254.94891357421875,264.4373284190129,253.16413483421513,262.61613469711887,92780
2010-05-20,260.9223327636719,263.3445285369506,252.41736967649618,254.60280144858706,75220
2010-05-21,256.35125732421875,260.61285563624295,255.47709756237506,260.61285563624295,74782
2010-05-24,256.3876647949219,260.79494477354734,254.602886028924,260.4307060238636,134754
2010-05-25,252.0714874267578,261.52348987043933,251.68904108701054,252.47216349379644,196400
2010-05-26,255.65919494628906,256.40587995921186,253.10952362220274,253.10952362220274,60922
2010-05-27,259.9207763671875,264.80158475872724,251.361165305523,257.7353437556987,266570
2010-05-28,267.0415344238281,271.6127243380795,262.83456087268127,267.67895196414014,496724
2010-05-31,275.9289855957031,278.6425679916988,264.43726060388667,265.89421520776483,182530
2010-06-01,274.10784912109375,276.63931271598625,272.4687748522038,273.21545979509125,86602
2010-06-02,292.1559143066406,296.12612587076495,272.8148441294009,273.54332168381853,520876
2010-06-03,292.6111145019531,299.9505322902464,291.39092390066435,293.21211717504355,496290
2010-06-04,296.1443176269531,300.4969752295828,288.95060215933586,292.7386941335657,460242
2010-06-07,298.894287109375,302.9373502722526,273.2154571457685,284.67076942687066,205172
2010-06-08,301.9721374511719,305.96055629196604,299.0582273912484,302.29996122546106,305328
2010-06-09,297.8198547363281,303.9572694387991,296.9820877364806,299.24037267469083,151178
2010-06-10,295.41583251953125,301.7353881447181,289.9340438009751,301.26185998658116,352780
2010-06-11,297.0367736816406,302.31823685562443,295.03346006392263,296.1261765826779,113050
2010-06-14,299.5317077636719,302.6823816395913,295.03336838516117,295.5979339648099,79856
2010-06-15,301.42584228515625,304.1394260416228,297.9655733661198,299.8049750294381,69816
2010-06-16,304.5582275390625,307.05325398434775,299.7684792753478,300.49695674624775,195486
2010-06-17,299.8595886230469,309.2387376142931,299.04005133254964,309.2387376142931,138128
2010-06-18,301.4439697265625,304.011870606467,299.0764179370214,302.3181515875557,261116
2010-06-21,305.2865905761719,306.32466169054595,301.62597487195205,301.7898866877374,192662
2010-06-22,303.57470703125,305.96046574045357,301.42569010552785,304.95880945380327,114008
2010-06-23,304.5946044921875,305.5416161935782,302.3181126798393,303.04659005979073,70974
2010-06-24,308.7287902832031,310.2585976513016,292.1923625146887,292.1923625146887,119716
2010-06-25,308.81982421875,314.3380503332548,306.3247976017002,308.51023016485146,111880
2010-06-28,308.96551513671875,311.3512744678049,305.96054549347923,306.6890229827494,104154
2010-06-29,307.3263854980469,312.06148832646124,306.707175297289,309.23863856336806,145880
2010-06-30,304.9224853515625,308.83805200262196,303.41088561232664,303.41088561232664,140124
2010-07-01,306.1790466308594,308.5830354234675,302.7005714432419,305.8876601130371,273390
2010-07-02,305.9241943359375,309.51193782654974,304.5036540429486,305.9606093254507,43866
2010-07-05,306.59796142578125,309.60293105068496,304.50358865690896,305.2320661417341,59886
2010-07-06,306.5069274902344,308.5102407418045,305.96056933071526,306.68904687674075,574390
