Date,Close,High,Low,Open,Volume,Ticker
2013-02-06,138.39390563964844,139.3824335370745,137.8996416909354,138.55866028921946,1068489,INDUSTOWER
2013-02-07,136.77928161621094,138.95404451726557,136.41681945673125,138.95404451726557,55628,INDUSTOWER
2013-02-08,136.38388061523438,137.57011596163736,134.7363343162926,137.04289913481108,1147102,INDUSTOWER
2013-02-11,134.01144409179688,136.6804615316764,132.56159504318776,132.56159504318776,56809,INDUSTOWER
2013-02-12,132.0343780517578,134.83520704913775,128.50862458566695,133.81372622716347,164404,INDUSTOWER
2013-02-13,128.5745391845703,133.55012181379402,128.14617104007783,133.55012181379402,294907,INDUSTOWER
2013-02-14,127.05878448486328,128.87108558342484,126.20205831801452,128.57452923300715,192159,INDUSTOWER
2013-02-15,123.9943618774414,127.05880480402267,119.90844803116018,127.05880480402267,891987,INDUSTOWER
2013-02-18,126.4656753540039,126.99289228700908,123.03878037321019,123.89550663236527,820340,INDUSTOWER
2013-02-19,126.26795196533203,129.9914025665824,125.2794241891603,129.9914025665824,38966,INDUSTOWER
2013-02-20,129.20057678222656,129.8266423356244,126.76221038404209,127.81663393296894,214534,INDUSTOWER
2013-02-21,128.3768310546875,129.82667002861336,127.94846291196028,129.43125482853074,217043,INDUSTOWER
2013-02-22,126.26795196533203,129.101723545698,123.89548128019005,129.101723545698,685089,INDUSTOWER
2013-02-25,126.56452941894531,131.14470686877496,124.38976593709184,131.14470686877496,770743,INDUSTOWER
2013-02-26,126.56452941894531,127.52010441762792,124.81812402262418,125.97140662071642,324124,INDUSTOWER
2013-02-27,121.62186431884766,129.7277937555584,115.69069790991162,129.7277937555584,1815408,INDUSTOWER
2013-02-28,126.4656753540039,128.44273131090335,121.91845067546582,121.91845067546582,3208335,INDUSTOWER
2013-03-01,125.7407455444336,128.27796101305097,119.282361527891,119.282361527891,1026599,INDUSTOWER
2013-03-04,126.6963119506836,127.09172708963459,123.73072857602519,123.73072857602519,134278,INDUSTOWER
2013-03-05,128.90403747558594,129.56305605152284,125.905500943908,128.44271642776977,421920,INDUSTOWER
2013-03-06,129.79373168945312,130.45275039318818,128.04733614688618,129.53012823029005,1128179,INDUSTOWER
2013-03-07,129.13470458984375,130.15618552538555,127.25650743980891,129.76077030652203,255566,INDUSTOWER
2013-03-08,127.65190124511719,130.12322100356354,126.20206233132717,128.77223085778104,237353,INDUSTOWER
2013-03-11,127.3883056640625,127.84961670285597,125.14763624505265,127.6519090988512,389005,INDUSTOWER
2013-03-12,125.11470794677734,127.75078282535404,124.75224563980753,126.86110353150335,416693,INDUSTOWER
2013-03-13,125.14761352539062,126.26795305941909,123.92843529104294,123.92843529104294,579140,INDUSTOWER
2013-03-14,125.08174896240234,126.36683339251675,125.08174896240236,126.36683339251675,104780,INDUSTOWER
2013-03-15,121.98432922363281,125.47711925334885,121.32531071903367,125.21351587383893,174015,INDUSTOWER
2013-03-18,120.92991638183594,123.17057566031338,118.39269068064955,123.17057566031338,101719,INDUSTOWER
2013-03-19,119.87547302246094,122.4456514609846,118.68924764941569,121.918434597506,296981,INDUSTOWER
2013-03-20,118.55746459960938,121.72075649062658,116.08614438097527,119.87550204954758,560531,INDUSTOWER
2013-03-21,114.60333251953125,118.85401060844165,113.58186171634911,117.63482215481486,3101013,INDUSTOWER
2013-03-22,114.07613372802734,115.92137792586138,111.76956842490812,115.92137792586138,979167,INDUSTOWER
2013-03-25,112.19790649414062,115.2952916226083,109.85838866474246,114.0102074800959,649932,INDUSTOWER
2013-03-26,112.0331802368164,113.35121765136718,110.3197275755694,110.71514282226562,3053335,INDUSTOWER
2013-03-28,117.9313735961914,121.91843804057532,117.93137359619139,121.91843804057532,338460,INDUSTOWER
2013-04-01,118.06318664550781,121.2594311073529,114.70219757765864,116.61334763256347,172211,INDUSTOWER
2013-04-02,121.1935043334961,122.57744727669188,115.98726193923534,116.64628047298099,202990,INDUSTOWER
2013-04-03,119.5130386352539,121.62189634706266,118.9528687490082,120.83107596211272,890606,INDUSTOWER
2013-04-04,118.62334442138672,119.94138158162434,116.34973233114191,118.62334442138672,932854,INDUSTOWER
2013-04-05,119.28235626220703,119.90842186678292,117.47005526927295,118.88694111414598,209977,INDUSTOWER
2013-04-08,116.975830078125,120.76518795389524,116.77812243865829,117.00878302734083,43044,INDUSTOWER
2013-04-09,116.71221160888672,119.01877697620996,114.43858913072081,117.60188078850094,783067,INDUSTOWER
2013-04-10,117.4700698852539,118.62335247879777,112.75809073967658,112.75809073967658,115618,INDUSTOWER
2013-04-11,115.39414978027344,118.03022392665706,114.4385648575495,117.47005414822061,12895,INDUSTOWER
2013-04-12,112.79104614257812,115.92138495813943,111.50596169261841,114.01023475623292,91657,INDUSTOWER
2013-04-15,108.14494323730469,115.19643939555007,104.94869939052252,110.78101731932723,783115,INDUSTOWER
2013-04-16,108.21084594726562,110.61626973379532,105.77247927727237,110.61626973379532,188869,INDUSTOWER
2013-04-17,112.00019836425781,113.35118837642081,107.3870686047523,107.42002154277088,1060339,INDUSTOWER
2013-04-18,112.19790649414062,113.35118893974852,108.27674819023872,109.26527600075978,556273,INDUSTOWER
2013-04-22,118.55746459960938,119.87550204954758,108.73808961990093,108.73808961990093,338085,INDUSTOWER
2013-04-23,115.39414978027344,117.3382524520664,114.10905558925154,115.98726244087982,50025,INDUSTOWER
2013-04-25,116.08611297607422,117.3712071867682,114.0102085763493,114.0102085763493,48718,INDUSTOWER
2013-04-26,117.63482666015625,119.31532619503805,116.05318595428302,116.05318595428302,1398468,INDUSTOWER
2013-04-29,117.8325424194336,120.00730608242945,115.16351474465807,117.63483480355632,904972,INDUSTOWER
2013-04-30,117.17351531982422,120.60041021082446,115.98727976560167,118.55744841989527,1928796,INDUSTOWER
2013-05-02,116.08611297607422,118.12907449312492,114.83398175970443,117.9643198564539,471516,INDUSTOWER
2013-05-03,115.75662231445312,117.14056550733454,115.36121715636314,116.64630151785212,39362,INDUSTOWER
2013-05-06,115.39414978027344,117.96431805066754,113.35118829449618,115.32824390428391,191634,INDUSTOWER
2013-05-07,115.7236557006836,116.58037172881359,113.54889258166807,113.54889258166807,104575,INDUSTOWER
2013-05-08,116.67924499511719,117.17350894449851,114.01021765729286,114.01021765729286,128503,INDUSTOWER
2013-05-09,117.17351531982422,117.96433567069715,114.01022386050619,114.01022386050619,137489,INDUSTOWER
2013-05-10,116.31680297851562,117.7336891907671,115.32827490787668,115.32827490787668,216483,INDUSTOWER
2013-05-13,114.60333251953125,116.90989765982174,114.50448375013491,115.39416289800592,13014,INDUSTOWER
2013-05-14,116.05319213867188,116.64630492102428,113.35121156167331,114.66924890541371,61559,INDUSTOWER
2013-05-15,116.18499755859375,116.67926157822264,114.70220549970712,114.70220549970712,55645,INDUSTOWER
2013-05-16,114.89990997314453,116.51450371523119,114.37269302214175,115.32826808943165,19899,INDUSTOWER
2013-05-17,115.13054656982422,116.44858376021907,114.66923556435118,115.29530121862358,15849,INDUSTOWER
2013-05-20,115.03170013427734,115.92136922232979,114.01021927985336,114.01021927985336,13553,INDUSTOWER
2013-05-21,115.78958129882812,116.3167982596122,114.01023285503065,114.01023285503065,44307,INDUSTOWER
2013-05-22,113.3511962890625,115.59185544919049,113.1534887029746,114.86694104130228,17037,INDUSTOWER
2013-05-23,112.00019836425781,114.63627251254665,111.37413276520417,113.68069764495692,34830,INDUSTOWER
2013-05-24,115.19644927978516,115.65776027255617,109.39708379056596,109.39708379056596,56708,INDUSTOWER
2013-05-27,114.01022338867188,115.98727928558526,112.03316749175849,113.97727044589139,37741,INDUSTOWER
2013-05-28,113.4830093383789,115.32826356660998,113.28530173252797,114.27382970595606,17324,INDUSTOWER
2013-05-29,112.79104614257812,114.33974410523936,110.74809421223449,112.6921973602071,45135,INDUSTOWER
2013-05-30,111.73661041259766,112.8898930118457,110.7151295278127,110.7151295278127,24084,INDUSTOWER
2013-05-31,112.36268615722656,115.92138304544716,110.71513943937866,110.71513943937866,257623,INDUSTOWER
2013-06-03,110.94578552246094,113.71366163603915,110.71512498973533,110.78103087217859,33499,INDUSTOWER
2013-06-04,111.83546447753906,113.35120940516887,110.71513476783936,110.71513476783936,26580,INDUSTOWER
2013-06-05,111.4400634765625,112.03317626977756,110.84694062752037,110.84694062752037,795355,INDUSTOWER
2013-06-06,111.20938873291016,112.03316198278355,109.8254456507925,110.91283237412088,36858,INDUSTOWER
2013-06-07,108.9357681274414,111.04462547242937,108.73806055163706,110.84691789662503,208980,INDUSTOWER
2013-06-10,107.22233581542969,109.36414649727624,105.44298741398408,108.0790620993337,43095,INDUSTOWER
2013-06-11,101.42296600341797,106.76102107973534,100.5003439176521,106.102002431095,55188,INDUSTOWER
2013-06-12,100.33560180664062,108.34267536690842,97.86428156509776,101.42297869058838,165941,INDUSTOWER
2013-06-13,101.3241195678711,102.60920395122507,98.39148852487692,98.85279957841081,261250,INDUSTOWER
2013-06-14,102.14788818359375,102.44444455747762,100.33558694162676,100.33558694162676,979836,INDUSTOWER
2013-06-17,100.23674011230469,105.41003045163124,99.18230625602301,100.82985287157156,107225,INDUSTOWER
2013-06-18,100.03902435302734,102.08197595628933,98.39147787177137,100.82984465286506,57293,INDUSTOWER
2013-06-19,102.08198547363281,104.38855076243766,98.32558115731594,98.85279809163666,250651,INDUSTOWER
2013-06-20,97.41134643554688,103.49325744677873,94.28639178973644,103.49325744677873,301822,INDUSTOWER
2013-06-21,98.88980865478516,101.0739193680628,96.47049217119478,97.4113357612978,65910,INDUSTOWER
2013-06-24,99.76348876953125,102.0820050300663,97.47857627454039,98.11700680216171,36590,INDUSTOWER
2013-06-25,95.6640625,99.25943894257051,94.18557921057074,98.78901710249168,899437,INDUSTOWER
2013-06-26,96.70571899414062,97.44496072902871,93.6815650404811,95.09284098729353,277131,INDUSTOWER
2013-06-27,100.06587982177734,101.81317269588688,94.75681419221155,94.75681419221155,513217,INDUSTOWER
2013-06-28,102.7540283203125,103.96369196936529,101.8803920362901,102.25000265440953,1215038,INDUSTOWER
2013-07-01,102.85482788085938,103.82927533963392,100.80512168896497,100.80512168896497,633345,INDUSTOWER
2013-07-02,102.14917755126953,103.49324567694413,100.33468763249401,103.49324567694413,485273,INDUSTOWER
2013-07-03,103.45965576171875,105.94618007592996,98.78902045113881,100.80512290932532,242533,INDUSTOWER
2013-07-04,103.32525634765625,104.16529908219003,102.14919651930894,102.14919651930894,262760,INDUSTOWER
