Date,Close,High,Low,Open,Volume,Ticker
2010-01-04,281.966064453125,285.36468962351097,278.3987172986895,281.53220434232855,576077,SIEMENS
2010-01-05,283.31597900390625,285.3407188125142,281.0984318952671,283.21958788523733,367720,SIEMENS
2010-01-06,286.2325439453125,291.1256086601316,283.21958219795727,284.42477190943794,1054668,SIEMENS
2010-01-07,296.7900390625,304.1899002835806,280.0861031097504,280.0861031097504,1756389,SIEMENS
2010-01-08,304.18988037109375,310.9148528762267,299.8512021763565,299.8512021763565,2120361,SIEMENS
2010-01-11,310.4086608886719,312.84315075427463,304.1898796349435,304.1898796349435,1092150,SIEMENS
2010-01-12,302.0928649902344,310.7461362826706,299.3691265161693,310.4086670982683,864811,SIEMENS
2010-01-13,307.68487548828125,308.4320944787508,300.47782376364114,301.2973486100007,698661,SIEMENS
2010-01-14,317.51922607421875,320.07424205828505,308.04645638089727,308.5285121701712,1285486,SIEMENS
2010-01-15,315.88018798828125,322.65335528788694,313.85547339741896,319.1342025316997,649687,SIEMENS
2010-01-18,314.2893371582031,319.85731487658995,310.0711858905904,315.75966503077757,365957,SIEMENS
2010-01-19,315.07965087890625,319.8177021979034,312.78391368914487,318.47443577544374,734888,SIEMENS
2010-01-20,326.2408447265625,330.97889515820617,316.5205505878049,318.9628388651629,1727669,SIEMENS
2010-01-21,308.216796875,327.2666426208788,303.82068253279385,327.02242392194233,1060985,SIEMENS
2010-01-22,307.31317138671875,317.0090629525873,290.63235050652156,300.6701533427382,1631015,SIEMENS
2010-01-25,309.6821594238281,315.299417581181,302.84373169020586,306.9467934092745,806970,SIEMENS
2010-01-27,290.2171325683594,309.19371477218846,287.21311821318517,307.72832643156823,1031397,SIEMENS
2010-01-28,301.2563171386719,304.26033201945074,293.0746720652185,299.9130760011772,1430111,SIEMENS
2010-01-29,314.05389404296875,320.86789337805266,291.0719655073332,297.95922791823426,2483077,SIEMENS
2010-02-01,321.3074645996094,325.8012713864675,312.6129032994033,312.6129032994033,1303958,SIEMENS
2010-02-02,317.033447265625,324.8243460803372,315.05519205101945,322.8705203533692,1417369,SIEMENS
2010-02-03,325.38604736328125,327.1200837540294,319.45130756200086,319.45130756200086,874074,SIEMENS
2010-02-04,314.15155029296875,326.28972958111893,312.61289890627455,325.8012668080035,537336,SIEMENS
2010-02-05,303.6253356933594,311.6360503143843,298.5698022927563,311.6360503143843,630618,SIEMENS
2010-02-08,307.1910400390625,312.56408000673855,304.08933302719515,310.0240988617178,840963,SIEMENS
2010-02-09,311.2696533203125,313.5898197144584,306.7025582037847,307.72831731459013,600688,SIEMENS
2010-02-10,312.2221374511719,320.4282100244895,307.8504276077529,312.7105748037923,781733,SIEMENS
2010-02-11,312.8083190917969,317.93714069290496,311.70929677490807,313.8829373131514,416170,SIEMENS
2010-02-15,314.5423583984375,316.0321509900286,310.70796960796065,313.834080943488,396291,SIEMENS
2010-02-16,322.455322265625,323.7985630695026,312.1244431490679,315.05516882623795,781169,SIEMENS
2010-02-17,330.1241149902344,334.4469660537404,323.84743824602305,323.84743824602305,1532355,SIEMENS
2010-02-18,330.8568420410156,337.255641707853,328.5366753125947,333.12817518306593,1208237,SIEMENS
2010-02-19,327.0713195800781,329.2205307129841,321.4540349297652,328.73206786585064,561332,SIEMENS
2010-02-22,325.0196838378906,332.15116320869487,322.89490279599113,330.1973377663946,352892,SIEMENS
2010-02-23,329.5623779296875,330.6369959844359,321.40513884931045,321.40513884931045,626796,SIEMENS
2010-02-24,331.1254577636719,332.0535243639824,323.40784728827714,329.7089283751773,554121,SIEMENS
2010-02-25,324.8243713378906,333.61662588462764,323.4078672564152,333.1281630662845,508859,SIEMENS
2010-02-26,334.2271728515625,337.0358022088087,324.82435917970406,324.82435917970406,922668,SIEMENS
2010-03-02,331.34527587890625,341.4319373325216,329.0006798652508,336.0588973945049,947622,SIEMENS
2010-03-03,340.6504211425781,344.36268784775376,330.6614515356836,333.177028752169,849617,SIEMENS
2010-03-04,343.04388427734375,348.5146176960993,341.89602826257715,343.3858209875677,837458,SIEMENS
2010-03-05,346.731689453125,350.61493692449994,344.41152292342474,346.51190024156085,729274,SIEMENS
2010-03-08,359.62701416015625,361.4098844815087,347.2934480655481,349.2961330136704,1252568,SIEMENS
2010-03-09,358.9431457519531,363.1194710559693,354.13183148889016,363.1194710559693,882767,SIEMENS
2010-03-10,358.9431457519531,363.85215257752174,355.74374607299325,359.5048716377406,428250,SIEMENS
2010-03-11,358.7233581542969,361.3610065649171,354.25395514255354,354.25395514255354,362347,SIEMENS
2010-03-12,359.3339538574219,364.7802576532939,358.08837990287515,363.1195093102197,534835,SIEMENS
2010-03-15,353.3747253417969,359.7002617135194,352.25127355475917,357.1847099374759,292039,SIEMENS
2010-03-16,356.4031982421875,358.4791463459872,352.4222830810099,353.6434275306284,600416,SIEMENS
2010-03-17,359.0408630371094,362.85084784269526,355.3041667043087,357.0626075560123,392894,SIEMENS
2010-03-18,356.0612487792969,362.3867849845383,354.27837858181334,361.45869295514757,321715,SIEMENS
2010-03-19,357.9173583984375,360.53060249687405,354.76681794570953,354.76681794570953,330475,SIEMENS
2010-03-22,357.2091369628906,358.91871872675654,354.1318339200769,354.1318339200769,302591,SIEMENS
2010-03-23,360.2864074707031,363.31485147466816,356.6229745159168,357.79525985631926,767247,SIEMENS
2010-03-25,371.15460205078125,372.6932536153435,357.5510582651929,357.5510582651929,1273191,SIEMENS
2010-03-26,363.09503173828125,374.1097599361005,361.5075466863953,371.71630491673966,776750,SIEMENS
2010-03-29,365.92803955078125,367.7597430496482,355.7925458051169,355.8413793809982,417005,SIEMENS
2010-03-30,361.6784973144531,367.85748180538593,360.60387917084466,367.8086482233702,321879,SIEMENS
2010-03-31,361.5319519042969,363.85211830214325,359.6269598121298,362.044818763279,449409,SIEMENS
2010-04-01,359.8712463378906,367.2714015080199,358.60126830002565,362.4356572996527,732811,SIEMENS
2010-04-05,364.1696472167969,365.0732843430043,360.60388150534203,362.240225522356,268277,SIEMENS
2010-04-06,357.648681640625,364.8778539364421,356.6473520795593,364.14517253105373,433574,SIEMENS
2010-04-07,362.19134521484375,363.46132292537925,358.7721314804438,359.50481288225086,368584,SIEMENS
2010-04-08,361.45867919921875,365.8548188949949,359.6269754880438,362.58213091393355,317976,SIEMENS
2010-04-09,365.9525451660156,369.27404164013393,360.48181222755187,363.41256382990605,1081096,SIEMENS
2010-04-12,366.6851806640625,372.25358007524227,364.8778811069096,364.8778811069096,786719,SIEMENS
2010-04-13,361.19000244140625,370.2020449342068,360.4817505009748,370.2020449342068,267518,SIEMENS
2010-04-15,360.09100341796875,365.9036470199839,358.57678149559,363.65674362406133,320552,SIEMENS
2010-04-16,360.2864074707031,363.6323332528392,357.50220756707796,358.4302742016197,478690,SIEMENS
2010-04-19,346.9270324707031,358.38136298263936,343.87418481729986,356.7206150781228,718148,SIEMENS
2010-04-20,342.4332275390625,350.9323775858947,341.13882033172683,345.8280118184913,1177333,SIEMENS
2010-04-21,351.0300598144531,352.6664035868623,342.4332174729223,342.4332174729223,541715,SIEMENS
2010-04-22,354.4004821777344,359.45601482309684,346.8049430713791,349.7356943626622,734610,SIEMENS
2010-04-23,350.0531921386719,355.20641720213746,349.2472222230654,354.1317991128213,296511,SIEMENS
2010-04-26,348.8076477050781,354.03413627377074,348.0261072108888,352.6664658034188,211134,SIEMENS
2010-04-27,350.6149597167969,353.5457112784767,344.68019351815326,349.2472638039222,401606,SIEMENS
2010-04-28,348.41693115234375,352.349012929366,344.43601578414854,346.36541243341765,500985,SIEMENS
2010-04-29,345.7792053222656,352.1780046625484,339.52695752257705,352.1780046625484,1569447,SIEMENS
2010-04-30,347.7330322265625,350.175320717038,342.4088260490812,346.80494025304154,1096873,SIEMENS
2010-05-03,341.4075012207031,346.8538041234425,337.57311280754436,344.75342684997713,1149992,SIEMENS
2010-05-04,334.5446472167969,343.33687517784796,332.15119242843025,341.4319085361219,1125915,SIEMENS
2010-05-05,329.51361083984375,331.5651294183809,320.8434777716514,325.5082408584318,1190842,SIEMENS
2010-05-06,323.7742004394531,330.3927889409501,322.38207509115585,329.2205035988587,819077,SIEMENS
2010-05-07,323.99395751953125,326.77818254547753,303.1368135866211,320.42821747453615,582014,SIEMENS
2010-05-10,341.94476318359375,343.7764920902567,323.8474156685939,323.8474156685939,540695,SIEMENS
2010-05-11,331.6138916015625,344.7533997869876,329.70889959119205,344.7533997869876,341145,SIEMENS
2010-05-12,327.779541015625,337.035803176811,325.3860859856964,330.6858629412304,477935,SIEMENS
2010-05-13,325.8990173339844,332.07800267820767,324.87325802521724,329.73340634467115,605670,SIEMENS
2010-05-14,323.33453369140625,330.9300469252145,320.59916768467383,324.82432603370734,524620,SIEMENS
2010-05-17,339.9665222167969,348.24588338110954,319.98861139249163,324.8243291802813,3087488,SIEMENS
2010-05-18,333.61663818359375,340.89464556453504,329.70896088726977,337.0358272490865,783435,SIEMENS
2010-05-19,329.4891662597656,335.96122890057705,326.5584146841483,329.7089554866627,922324,SIEMENS
2010-05-20,329.3670349121094,332.85951229318056,327.31551648539784,331.66279744334537,680544,SIEMENS
2010-05-21,322.7484130859375,328.2435493494037,319.30476964354114,326.3385572659058,536477,SIEMENS
2010-05-24,329.19610595703125,332.0047356253453,319.93981740277746,323.6032507172499,450434,SIEMENS
2010-05-25,328.0726318359375,333.5677687376601,319.67114749773026,325.58148414594496,1248179,SIEMENS
2010-05-26,337.5975646972656,342.6531234831311,327.75514613504964,332.12685692665866,570635,SIEMENS
2010-05-27,343.5811767578125,350.46841383540743,336.5717922286368,336.5717922286368,1802178,SIEMENS
2010-05-28,346.16998291015625,349.6380308513518,342.8973200975757,349.6380308513518,509116,SIEMENS
2010-05-31,340.9923095703125,348.27034173612697,338.98965020073877,348.27034173612697,513003,SIEMENS
2010-06-01,329.19610595703125,342.7508168389237,327.8040058685384,341.7738911306051,790181,SIEMENS
2010-06-02,333.4700622558594,335.252932432335,326.06993335822466,329.7089367826522,436148,SIEMENS
2010-06-03,338.6721496582031,340.9434826555446,336.547368199598,338.5011940250766,417799,SIEMENS
2010-06-04,339.8689270019531,341.62739342337716,335.6193633030544,338.50125629088484,311700,SIEMENS
2010-06-07,334.0317687988281,338.98963419532936,332.63966894341974,334.6423536129152,265780,SIEMENS
2010-06-08,338.79425048828125,344.3626499329564,332.200066520137,332.200066520137,1071665,SIEMENS
2010-06-09,336.81597900390625,344.6313068327231,335.2284941097761,340.69920073491926,578378,SIEMENS
2010-06-10,341.4808044433594,341.87157471641666,333.2503007963939,333.2503007963939,300976,SIEMENS
2010-06-11,350.63934326171875,351.6162433912867,341.94478228115094,344.36264121006565,1395851,SIEMENS
2010-06-14,352.86187744140625,355.3529998621014,351.29882173005717,353.54572542520697,631056,SIEMENS
2010-06-15,351.4941101074219,355.10868338065615,348.73431483553,353.1548579307073,507232,SIEMENS
2010-06-16,352.5443115234375,353.6433590915375,348.31915305332393,353.6433590915375,475756,SIEMENS
2010-06-17,357.0870361328125,357.9906733500389,351.201128686446,352.6664918267009,917617,SIEMENS
2010-06-18,356.5497741699219,359.94455952714804,353.6434517048296,359.26071147816054,881459,SIEMENS
2010-06-21,359.3583984375,361.94721363360446,356.7451537485499,358.03956134660217,668838,SIEMENS
2010-06-22,359.3827209472656,362.777505480711,354.27835479792526,354.27835479792526,479997,SIEMENS
2010-06-23,361.11676025390625,361.89830069775064,356.57409451577735,356.57409451577735,457806,SIEMENS
2010-06-24,361.5319519042969,364.8290438351717,358.13716742011917,361.45866344346194,681251,SIEMENS
2010-06-25,356.4276428222656,362.4356727529452,354.18073897140874,359.0164579914763,328003,SIEMENS
2010-06-28,361.16558837890625,361.3609480787025,355.15753482176405,356.4275379345302,272351,SIEMENS
2010-06-29,357.2579345703125,361.31213744213954,355.32853838497596,361.31213744213954,273777,SIEMENS
2010-06-30,359.8468017578125,360.8725609482224,352.4222433258828,356.57411367064697,405574,SIEMENS
2010-07-01,349.5647277832031,359.01637437205335,348.8320463319628,358.08830781455197,385939,SIEMENS
2010-07-02,351.32318115234375,355.05990239994816,347.8795629692928,349.7845551275447,773803,SIEMENS
2010-07-05,349.1739196777344,353.44793667027466,348.39240473197856,351.2010335865875,193155,SIEMENS
2010-07-06,354.1318359375,354.5714651715377,349.8578434117677,351.20110981447436,443765,SIEMENS
2010-07-07,350.3218688964844,355.9879866771541,349.3693727700374,351.2011019503922,295012,SIEMENS
2010-07-08,354.00970458984375,356.4275635622097,352.32452707643995,354.0341086825258,277192,SIEMENS
2010-07-09,352.0314636230469,357.9417999020994,350.22416399537536,356.32988539063444,345967,SIEMENS
2010-07-12,349.90667724609375,354.03414362641206,349.24725878904644,354.03414362641206,191281,SIEMENS
2010-07-13,357.2823791503906,358.7721716058782,349.5891727820503,350.6637655196907,663010,SIEMENS
2010-07-14,360.55499267578125,366.7339762599208,356.7938678168312,356.7938678168312,1543215,SIEMENS
2010-07-15,361.3121337890625,366.2944031699919,358.57676771772117,363.85211475570253,739579,SIEMENS
2010-07-16,358.2593078613281,363.8033038014177,357.6487483744052,363.70561123617244,333836,SIEMENS
2010-07-19,354.7668151855469,361.3609737041699,352.7152715502111,358.03947765496184,478029,SIEMENS
2010-07-20,349.71124267578125,357.99060375543985,347.3666468704822,355.5971743723836,433196,SIEMENS
2010-07-21,349.0517883300781,353.4967608047292,348.31910697791466,349.73563610951834,364755,SIEMENS
2010-07-22,352.5688171386719,356.4764693071869,348.27039467440886,349.05190987142237,897922,SIEMENS
2010-07-23,355.54833984375,358.8942908651029,352.5687549559064,355.52393575043175,657383,SIEMENS
2010-07-26,351.7627868652344,358.7721448077606,350.22413554870303,356.6229340985347,442111,SIEMENS
